case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3042665,2019-05-27T11:49:00Z,L70H,3682,17483620,null,Error P206A02 adblue quality failure.,P206A02 Reductant Quality - General Signal Failure,null,"We adviced the driver to drain the tank and slowly refill is with adblue. But the next day he called again and error code P206A02 was active again. But a additional code P20EE84 appeared.
We erased error codes and did a reset on quality and tempering timers. Software update.
We finally removed the Adblue tnak and changed the Adblue tank armature.",null,null,"Hello Sjoerd Anne,
Thanks for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the adblue tank armature",null,Tank armature failure.,null,null,Closed,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Grading,"[""P206A02""]"
TS3042665,2019-05-27T11:49:00Z,L70H,3682,17483620,null,Error P206A02 adblue quality failure.,P20EE84 SCR NOx Catalyst Efficiency Below Threshold (Bank 1) - Signal Below Allowable Range,null,"We adviced the driver to drain the tank and slowly refill is with adblue. But the next day he called again and error code P206A02 was active again. But a additional code P20EE84 appeared.
We erased error codes and did a reset on quality and tempering timers. Software update.
We finally removed the Adblue tnak and changed the Adblue tank armature.",null,null,"Hello Sjoerd Anne,
Thanks for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the adblue tank armature",null,Tank armature failure.,null,null,Closed,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Grading,"[""P20EE84""]"
TS3042665,2019-05-27T11:49:00Z,L70H,3682,17483620,null,Error P206A02 adblue quality failure.,P206A02 Reductant Quality - General Signal Failure,null,"We adviced the driver to drain the tank and slowly refill is with adblue. But the next day he called again and error code P206A02 was active again. But a additional code P20EE84 appeared.
We erased error codes and did a reset on quality and tempering timers. Software update.
We finally removed the Adblue tnak and changed the Adblue tank armature.",null,null,"Hello Sjoerd Anne,
Thanks for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the adblue tank armature",null,Tank armature failure.,null,null,Closed,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Grading,"[""P206A02""]"
TS3042665,2019-05-27T11:49:00Z,L70H,3682,17483620,null,Error P206A02 adblue quality failure.,P20EE84 SCR NOx Catalyst Efficiency Below Threshold (Bank 1) - Signal Below Allowable Range,null,"We adviced the driver to drain the tank and slowly refill is with adblue. But the next day he called again and error code P206A02 was active again. But a additional code P20EE84 appeared.
We erased error codes and did a reset on quality and tempering timers. Software update.
We finally removed the Adblue tnak and changed the Adblue tank armature.",null,null,"Hello Sjoerd Anne,
Thanks for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We replaced the adblue tank armature",null,Tank armature failure.,null,null,Closed,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Grading,"[""P20EE84""]"
TS3010971,2018-10-24T11:24:29Z,L150H,1213,15127941,null,"Hello Jim,
Automatic greasing system is working randomly on this machine. It will work for some days after a bleeding test. Then, membrane in grease reservoir starts to go up, meaning air is being transfered from pump unit base to reservoir.
Are we allowed to proceed with pump unit replacement? Please inform. Many thanks.
Br. André Mello",C105513 c10367b,null,Please refer to the attached SB 993 WLO 19 and Twin Gina report.,null,null,"Hi Andre, i think you should change the pump unit.
Br Jim",null,Pump unit internal failure.,null,null,Closed,VOE15127941,993 Automatic lubricating system,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,"Aggregates, Sand, Gravel","[""C105513"",""C10367B""]"
TS3010971,2018-10-24T11:24:29Z,L150H,1213,15127941,null,"Hello Jim,
Automatic greasing system is working randomly on this machine. It will work for some days after a bleeding test. Then, membrane in grease reservoir starts to go up, meaning air is being transfered from pump unit base to reservoir.
Are we allowed to proceed with pump unit replacement? Please inform. Many thanks.
Br. André Mello","C105513
c10367b",null,Please refer to the attached SB 993 WLO 19 and Twin Gina report.,null,null,"Hi Andre, i think you should change the pump unit.
Br Jim",null,Pump unit internal failure.,null,null,Closed,VOE15127941,993 Automatic lubricating system,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,"Aggregates, Sand, Gravel","[""C105513"",""C10367B""]"
TS3010971,2018-10-24T11:24:29Z,L150H,1213,15127941,null,"Hello Jim,
Automatic greasing system is working randomly on this machine. It will work for some days after a bleeding test. Then, membrane in grease reservoir starts to go up, meaning air is being transfered from pump unit base to reservoir.
Are we allowed to proceed with pump unit replacement? Please inform. Many thanks.
Br. André Mello","C105513
c10367b",null,Please refer to the attached SB 993 WLO 19 and Twin Gina report.,null,null,"Hi Andre, i think you should change the pump unit.
Br Jim",null,Pump unit internal failure.,null,null,Closed,VOE15127941,993 Automatic lubricating system,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,"Aggregates, Sand, Gravel","[""C105513"",""C10367B""]"
TS3057626,2019-09-13T12:54:10Z,L90H,783,22730,null,"Machine detects slip in 1st gear.
p/n 22730 - s/n  11162.",P101600 Transmission Clutch 1 Slip - No Sub Type Information,null,"In Neutral main pressure is 20 bar at Low Idle and High Idle.
As soon as F1 or R1 is selected, the main pressure drops to 13,5 bar and clutch 1 pressure is max 9 bar at low idle. At High Idle main pressure rises to 20 bar and clutch 1 pressure rises to 14,5 bar which is too low.
PWM exchanged with clutch 2 and transmission calibration carried out, but the transmission keeps slipping in 1st gear and clutch pressure is too low. 
Matris attached to this case and has been exported to the Volvo systems. 
Techtool Job Card attached to this case.",null,null,Transmission replaced.,null,1rst gear clutch piston has failed and is leaking too much.,null,null,Closed,VOE22730,"421 Transmission, hydraulic control",c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P101600""]"
TS3113077,2020-10-22T14:07:37Z,L120H,1242,16933334,PUMP,Error on lubrication system.,"C104607 Central Lubrication Main Line Channel B, No Pressure - Mechanical Failures",null,Used Sb993WLO19k to fault trace the lubrication pump. Conclusion pump inside is not tuning. Mechanical  jammed. We replaced the lubrcication pump.,null,null,null,null,Electrical pump not working.,null,null,Accept/Reject,VOE16933334,993 Automatic lubricating system,c9362df9db964b004dd1f3361d961963,Contamination / Blocked / Clogged,"Metal dust or other foreign objects in oil or components (Engines, Transmissions, Drive axles, Hydra",Pipe handling large diameter pipes,"[""C104607""]"
